iteration,max_L,min_L,c_exact_avg,g_exact_avg_0,g_exact_avg_1,c_avg,g_avg_0,g_avg_1,c_pi_exact,g_pi_exact_0,g_pi_exact_1,c_pi,g_pi_0,g_pi_1,lambda_0,lambda_1,c_br_exact,g_br_exact_0,g_br_exact_1,c_br,g_br_0,g_br_1
25.0,0.0,0.0,-34.54430953593399,6.585109338166023,68.82287425078619,0.0,0.0,0.0,6.1979346480397615,22.298769740241774,0.04805283674095408,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0
26.0,0.0,0.0,-35.04126731576685,6.487344536684966,67.39755834906423,0.0,0.0,0.0,-47.465211811588496,4.043224499658509,31.7646608060153,0.0,0.0,0.0,0.30000000000000004,0.2,0.0,0.0,0.0,0.0,0.0,0.0
27.0,0.0,0.0,-34.91805651587811,6.3719008372245876,66.26681375679652,0.0,0.0,0.0,-31.714575718770803,3.3703646512547643,36.86745435783604,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0
28.0,0.0,0.0,-35.537268228048795,6.277590395441395,65.48375324840366,0.0,0.0,0.0,-52.255984456657245,3.7312084672952093,44.34111952179631,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
29.0,0.0,0.0,-35.23772634332515,6.484668436390416,65.16642247532866,0.0,0.0,0.0,-26.850553571062992,12.282853582963016,56.281160829228654,0.0,0.0,0.0,0.6000000000000001,0.2,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.0,0.0,-35.1352718835707,6.364555099711591,63.85894977190424,0.0,0.0,0.0,-32.16409255069181,2.8812683360256304,25.942241372596328,0.0,0.0,0.0,0.7000000000000001,0.2,0.0,0.0,0.0,0.0,0.0,0.0
31.0,0.0,0.0,-35.666074999633295,6.206623196458092,63.55704615831378,0.0,0.0,0.0,-51.59016848151094,1.4686660988531308,54.49993775059994,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0
32.0,0.0,0.0,-35.311010460551,6.089878674214597,62.06125541959447,0.0,0.0,0.0,-24.304009749000063,2.470798484666227,15.691742519295758,0.0,0.0,0.0,0.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0
33.0,0.0,0.0,-35.28166273754151,5.907889962834906,61.205206392672835,0.0,0.0,0.0,-34.3425356012376,0.08425119868479536,33.811637531180594,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
34.0,0.0,0.0,-34.316278474420265,6.431597695966109,59.94516742131475,0.0,0.0,0.0,-2.4585977914193187,23.713952889295793,18.363881366497832,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0
35.0,0.0,0.0,-33.70014275524642,7.332124626557649,58.98283081792571,0.0,0.0,0.0,-12.751528303335636,37.95004026667,26.26338630269822,0.0,0.0,0.0,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0
36.0,0.0,0.0,-33.296501267351026,7.4264884175146015,58.737955014053036,0.0,0.0,0.0,-19.169049191012128,10.729221101007937,50.16730187850968,0.0,0.0,0.0,0.2,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0
37.0,0.0,0.0,-33.241576129327264,7.731825596724042,57.814210676008756,0.0,0.0,0.0,-31.264271160471907,18.723964048263905,24.559414506414573,0.0,0.0,0.0,0.30000000000000004,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0
38.0,0.0,0.0,-32.79150216625527,7.681852131392168,56.83679586180773,0.0,0.0,0.0,-16.13876553259139,5.8328339141128,20.672447736369627,0.0,0.0,0.0,0.4,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0
39.0,0.0,0.0,-31.79177301717078,7.484881563920574,55.37970408389057,0.0,0.0,0.0,6.1979346480397615,0.0,0.010216523038805814,0.0,0.0,0.0,0.5,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0
40.0,0.0,0.0,-31.517357002555922,7.298809808716044,54.26182871550626,0.0,0.0,0.0,-20.815132432576615,0.04201135573935666,10.66468934851823,0.0,0.0,0.0,0.6000000000000001,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0
41.0,0.0,0.0,-30.597471840346273,7.6565304601828394,52.93874176057323,0.0,0.0,0.0,6.1979346480397615,21.965356518854687,0.015263563252115024,0.0,0.0,0.0,0.7000000000000001,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0
42.0,0.0,0.0,-30.404378355084358,7.608834749892579,52.414883959168186,0.0,0.0,0.0,-22.48754545934601,5.6533106279918925,30.936714101561492,0.0,0.0,0.0,0.8,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0
43.0,0.0,0.0,-30.470364634708627,7.49648083364678,51.621607542973706,0.0,0.0,0.0,-33.24178837892788,2.777616351323236,18.303998062805505,0.0,0.0,0.0,0.9,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0
44.0,0.0,0.0,-30.322038608675474,7.327582822378449,50.95313643550312,0.0,0.0,0.0,-23.94401948925003,0.06496833784023053,22.208878814267692,0.0,0.0,0.0,1.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0
45.0,0.0,0.0,-29.615117089019982,7.795909411436859,49.850605793169,0.0,0.0,0.0,1.4894297758215957,28.402279330006873,1.339257530467995,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
46.0,0.0,0.0,-29.35303763418915,7.9767654773971035,49.1016838615379,0.0,0.0,0.0,-17.559462166801715,16.115288445608073,15.400196938138409,0.0,0.0,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0
47.0,0.0,0.0,-28.59663396860981,8.362758147879724,48.0571857214221,0.0,0.0,0.0,6.1979346480397615,26.118420990080292,0.010271276095433931,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0
48.0,0.0,0.0,-28.649377516277628,8.576426297140069,47.595829968788216,0.0,0.0,0.0,-31.128324256664644,18.61882931237627,25.912109594995435,0.0,0.0,0.0,0.30000000000000004,0.4,0.0,0.0,0.0,0.0,0.0,0.0
49.0,0.0,0.0,-28.37159546731871,8.61050555654929,47.06758311456185,0.0,0.0,0.0,-15.038057117290556,10.246310008192005,21.711734111696426,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0
50.0,0.0,0.0,-28.5250879211448,8.514241666503265,46.45975409422619,0.0,0.0,0.0,-36.04621815862337,3.797311054247965,16.67613209777879,0.0,0.0,0.0,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0
51.0,0.0,0.0,-27.94824391687045,8.708391545980664,45.5505593568178,0.0,0.0,0.0,0.893956296847076,18.415885519850622,0.09082248639850936,0.0,0.0,0.0,0.6000000000000001,0.4,0.0,0.0,0.0,0.0,0.0,0.0
52.0,0.0,0.0,-28.1806860793191,8.63510013994261,45.164559673448665,0.0,0.0,0.0,-40.03523636420027,4.897238432001847,25.47857582162266,0.0,0.0,0.0,0.7000000000000001,0.4,0.0,0.0,0.0,0.0,0.0,0.0
53.0,0.0,0.0,-27.532032858048176,8.557581618139448,44.313639558113735,0.0,0.0,0.0,6.1979346480397615,4.526618484374998,0.06579356069731068,0.0,0.0,0.0,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0
54.0,0.0,0.0,-27.49749699850643,8.400357883823423,43.79085524527673,0.0,0.0,0.0,-25.66709644279397,0.06749996507416055,16.083286664915533,0.0,0.0,0.0,0.9,0.4,0.0,0.0,0.0,0.0,0.0,0.0
55.0,0.0,0.0,-27.28013026408412,8.253665255965744,43.545154116247076,0.0,0.0,0.0,-15.542326605279385,0.3322633516510522,30.277293148645718,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
56.0,0.0,0.0,-26.90667332847389,8.833916926888346,43.01674778770262,0.0,0.0,0.0,-6.366541869911043,40.747758827631436,13.954399717757475,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
57.0,0.0,0.0,-26.803235761637946,9.281866809307992,42.65514154088124,0.0,0.0,0.0,-21.01073201882521,34.367060224808164,22.40519171888407,0.0,0.0,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0
58.0,0.0,0.0,-26.310528175008308,9.50525580583068,41.94953380340935,0.0,0.0,0.0,1.7738042628810744,22.238428607623888,1.7298927675119409,0.0,0.0,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0
59.0,0.0,0.0,-26.067956341011094,9.737777026808274,41.64289678109006,0.0,0.0,0.0,-11.998789969172732,23.22400784350876,23.857949486570767,0.0,0.0,0.0,0.30000000000000004,0.5,0.0,0.0,0.0,0.0,0.0,0.0
